42.442	0.461	0.008
42.543	0.462	0.005
42.643	0.463	0.001
42.743	0.463	-0.003
42.843	0.463	-0.007
42.943	0.462	-0.010
43.043	0.461	-0.014
43.143	0.459	-0.017
43.243	0.458	-0.020
43.343	0.456	-0.023
43.443	0.453	-0.026
43.544	0.451	-0.028
43.644	0.448	-0.030
43.744	0.445	-0.032
43.844	0.442	-0.034
43.944	0.438	-0.035
44.044	0.435	-0.036
44.144	0.431	-0.036
44.244	0.428	-0.036
44.344	0.424	-0.036
44.444	0.421	-0.036
44.545	0.417	-0.035
44.645	0.413	-0.034
44.745	0.410	-0.033
44.845	0.407	-0.031
44.945	0.404	-0.029
45.045	0.401	-0.027
45.145	0.398	-0.024
45.245	0.396	-0.022
45.345	0.393	-0.019
45.445	0.392	-0.016
45.546	0.390	-0.013
45.646	0.389	-0.010
45.746	0.388	-0.007
45.846	0.387	-0.003
45.946	0.387	-0.000
46.046	0.387	0.003
46.146	0.387	0.006
46.246	0.388	0.009
46.346	0.388	0.012
46.446	0.390	0.015
46.547	0.391	0.017
46.647	0.393	0.020
46.747	0.395	0.022
46.847	0.397	0.024
46.947	0.400	0.026
47.047	0.402	0.027
47.147	0.405	0.028
47.247	0.408	0.029
47.347	0.411	0.030
47.447	0.414	0.030
47.548	0.417	0.030
47.648	0.420	0.030
47.748	0.423	0.030
47.848	0.426	0.029
47.948	0.429	0.028
48.048	0.431	0.027
48.148	0.434	0.025
48.248	0.437	0.024
48.348	0.439	0.022
48.448	0.441	0.020
48.549	0.443	0.018
48.649	0.445	0.015
48.749	0.446	0.013
48.849	0.448	0.010
48.949	0.449	0.008
49.049	0.450	0.005
49.149	0.450	0.002
49.249	0.450	-0.000
49.349	0.450	-0.003
49.449	0.450	-0.006
49.550	0.449	-0.008
49.650	0.449	-0.010
49.750	0.447	-0.013
49.850	0.446	-0.015
49.950	0.445	-0.017
50.050	0.443	-0.019
50.150	0.441	-0.020
50.250	0.439	-0.022
50.350	0.437	-0.023
50.450	0.435	-0.024
50.551	0.432	-0.025
50.651	0.430	-0.025
50.751	0.427	-0.025
50.851	0.425	-0.025
50.951	0.422	-0.025
51.051	0.420	-0.025
51.151	0.417	-0.024
51.251	0.415	-0.023
51.351	0.412	-0.022
51.451	0.410	-0.021
51.552	0.408	-0.020
51.652	0.406	-0.018
51.752	0.404	-0.016
51.852	0.403	-0.014
51.952	0.401	-0.012
52.052	0.400	-0.010
52.152	0.399	-0.008
52.252	0.398	-0.006
52.352	0.398	-0.004
52.452	0.397	-0.002
52.553	0.397	0.001
52.653	0.397	0.003
52.753	0.397	0.005
52.853	0.398	0.007
52.953	0.399	0.009
53.053	0.400	0.011
53.153	0.401	0.013
53.253	0.402	0.014
53.353	0.403	0.016
53.453	0.405	0.017
53.554	0.407	0.018
53.654	0.409	0.019
53.754	0.410	0.020
53.854	0.412	0.021
53.954	0.415	0.021
54.054	0.417	0.021
54.154	0.419	0.021
54.254	0.421	0.021
54.354	0.423	0.021
54.454	0.425	0.020
54.555	0.427	0.019
54.655	0.429	0.018
54.755	0.431	0.017
54.855	0.433	0.016
54.955	0.434	0.015
55.055	0.436	0.013
55.155	0.437	0.012
55.255	0.438	0.010
55.355	0.439	0.008
55.455	0.440	0.006
