-2.450	-16.298	-4.079	-29.197	14.415	-28.448
-2.613	-17.589	-4.372	-31.865	14.130	-26.259
-2.789	-19.018	-4.691	-34.721	13.868	-23.899
-2.979	-20.590	-5.038	-37.777	13.628	-21.333
-3.185	-22.311	-5.416	-41.041	13.415	-18.521
-3.409	-24.186	-5.827	-44.519	13.229	-15.416
-3.651	-26.221	-6.273	-48.213	13.075	-11.967
-3.913	-28.422	-6.755	-52.117	12.955	-8.113
-4.198	-30.794	-7.277	-56.216	12.874	-3.784
-4.506	-33.339	-7.840	-60.487	12.836	1.095
-4.840	-36.056	-8.445	-64.889	12.847	6.613
-5.201	-38.942	-9.095	-69.364	12.913	12.862
-5.590	-41.988	-9.789	-73.831	13.042	19.946
-6.011	-45.175	-10.528	-78.178	13.242	27.970
-6.463	-48.479	-11.311	-82.260	13.522	37.042
-6.948	-51.860	-12.134	-85.886	13.893	47.263
-7.467	-55.266	-12.994	-88.817	14.366	58.720
-8.020	-58.625	-13.883	-90.757	14.953	71.472
-8.607	-61.841	-14.791	-91.347	15.669	85.531
-9.226	-64.795	-15.706	-90.166	16.525	100.840
-9.875	-67.334	-16.608	-86.739	17.534	117.248
-10.549	-69.277	-17.477	-80.544	18.708	134.472
-11.242	-70.405	-18.283	-71.048	20.054	152.066
-11.947	-70.469	-18.994	-57.751	21.576	169.388
-12.653	-69.196	-19.572	-40.251	23.272	185.579
-13.345	-66.298	-19.975	-18.332	25.130	199.559
-14.009	-61.497	-20.159	7.930	27.127	210.059
-14.624	-54.547	-20.079	38.064	29.230	215.700
-15.170	-45.277	-19.698	71.110	31.389	215.126
-15.624	-33.627	-18.986	105.579	33.542	207.190
-15.960	-19.692	-17.929	139.488	35.616	191.183
-16.157	-3.758	-16.533	170.515	37.530	167.053
-16.195	13.687	-14.826	196.248	39.202	135.574
-16.058	31.961	-12.862	214.541	40.559	98.378
-15.738	50.237	-10.714	223.873	41.544	57.839
-15.235	67.618	-8.473	223.642	42.123	16.765
-14.558	83.236	-6.235	214.287	42.291	-22.009
-13.725	96.354	-4.090	197.211	42.071	-56.056
-12.761	106.450	-2.116	174.506	41.510	-83.695
